Move,Type,Category,Power Points,Base Power,Accuracy,Battle Effect,Secondary Effect,Secondary Rate,Critical Rate,Speed Priority,Attack URL,Pokemon
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Floragato
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Meowscarada
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Quaxly
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Quaxwell
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Quaquaval
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Spidops
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Lokix
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Espathra
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Tandemaus
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Maushold
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Arctibax
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Baxcalibur
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Cyclizar
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Wattrel
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Kilowattrel
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Bombirdier
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Flamigo
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Slither Wing
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Roaring Moon
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Iron Valiant
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Chien-Pao
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Kingambit
After You,normal,other,15,0,101,The user helps the target and makes it use its move right after the user.,Target moves immediately after the user,0,0,0,https://serebii.net/attackdex-sv/afteryou.shtml,Tandemaus
After You,normal,other,15,0,101,The user helps the target and makes it use its move right after the user.,Target moves immediately after the user,0,0,0,https://serebii.net/attackdex-sv/afteryou.shtml,Maushold
After You,normal,other,15,0,101,The user helps the target and makes it use its move right after the user.,Target moves immediately after the user,0,0,0,https://serebii.net/attackdex-sv/afteryou.shtml,Clodsire
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Nymble
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Lokix
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Flittle
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Espathra
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Farigiraf
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Pawmi
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Pawmo
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Pawmot
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Wattrel
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Kilowattrel
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Iron Bundle
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Koraidon
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Miraidon
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Sprigatito
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Floragato
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Meowscarada
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Quaquaval
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Dudunsparce
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Wiglett
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Wugtrio
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Veluza
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Finizen
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Palafin
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Tandemaus
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Maushold
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Cyclizar
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Flamigo
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Fidough
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Dachsbun
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Iron Moth
Agility,psychic,other,30,0,101,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Raises user's Speed two stages.,0,0,0,https://serebii.net/attackdex-sv/agility.shtml,Iron Valiant
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Iron Jugulis
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Quaxly
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Quaxwell
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Quaquaval
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Wattrel
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Kilowattrel
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Bombirdier
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Squawkabilly
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Flamigo
Air Cutter,flying,special,25,60,95,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,Has an increased Critical Hit ratio,0,0.125,0,https://serebii.net/attackdex-sv/aircutter.shtml,Iron Bundle
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Quaxly
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Quaxwell
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Quaquaval
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Flamigo
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Iron Jugulis
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Dudunsparce
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Wattrel
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Kilowattrel
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Bombirdier
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Squawkabilly
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Roaring Moon
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Iron Moth
Air Slash,flying,special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,May cause opponent to flinch.,0.3,0.0417,0,https://serebii.net/attackdex-sv/airslash.shtml,Kingambit
Ally Switch,psychic,other,15,0,101,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,Switches place with other Pokémon on field,0,0,2,https://serebii.net/attackdex-sv/allyswitch.shtml,Armarouge
Ally Switch,psychic,other,15,0,101,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,Switches place with other Pokémon on field,0,0,2,https://serebii.net/attackdex-sv/allyswitch.shtml,Ceruledge
Ally Switch,psychic,other,15,0,101,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,Switches place with other Pokémon on field,0,0,2,https://serebii.net/attackdex-sv/allyswitch.shtml,Sprigatito
Ally Switch,psychic,other,15,0,101,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,Switches place with other Pokémon on field,0,0,2,https://serebii.net/attackdex-sv/allyswitch.shtml,Floragato
