Ability,Pokemon,Game's Text,In-Depth Effect,Ability URL
Flash Fire,Armarouge,Powers up the Pokémon's Fire-type moves if it's hit by one.,"Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.",https://www.serebii.net/abilitydex/flashfire.shtml
Flash Fire,Ceruledge,Powers up the Pokémon's Fire-type moves if it's hit by one.,"Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.",https://www.serebii.net/abilitydex/flashfire.shtml
Fluffy,Greavard,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",,https://www.serebii.net/abilitydex/fluffy.shtml
Fluffy,Houndstone,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",,https://www.serebii.net/abilitydex/fluffy.shtml
Friend Guard,Maushold,Reduces damage done to allies.,"In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%.",https://www.serebii.net/abilitydex/friendguard.shtml
Frisk,Flittle,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Reveals the foe’s held item.,https://www.serebii.net/abilitydex/frisk.shtml
Frisk,Espathra,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Reveals the foe’s held item.,https://www.serebii.net/abilitydex/frisk.shtml
Gluttony,Lechonk,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",The Pokémon will use a berry when its Hit Points are below 50%.,https://www.serebii.net/abilitydex/gluttony.shtml
Gluttony,Oinkologne,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",The Pokémon will use a berry when its Hit Points are below 50%.,https://www.serebii.net/abilitydex/gluttony.shtml
Good as Gold,Gholdengo,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves.",,https://www.serebii.net/abilitydex/goodasgold.shtml
Gooey,Wiglett,Contact with the Pokémon lowers the attacker's Speed stat.,Lowers the opponent's Speed by one stage when it makes physical contact.,https://www.serebii.net/abilitydex/gooey.shtml
Gooey,Wugtrio,Contact with the Pokémon lowers the attacker's Speed stat.,Lowers the opponent's Speed by one stage when it makes physical contact.,https://www.serebii.net/abilitydex/gooey.shtml
Guard Dog,Mabosstiff,Boosts the Pokémon's Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,,https://www.serebii.net/abilitydex/guarddog.shtml
Guts,Squawkabilly,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,"Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied.",https://www.serebii.net/abilitydex/guts.shtml
Hadron Engine,Miraidon,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,,https://www.serebii.net/abilitydex/hadronengine.shtml
Harvest,Smoliv,May create another Berry after one is used.,"The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%",https://www.serebii.net/abilitydex/harvest.shtml
Harvest,Dolliv,May create another Berry after one is used.,"The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%",https://www.serebii.net/abilitydex/harvest.shtml
Harvest,Arboliva,May create another Berry after one is used.,"The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%",https://www.serebii.net/abilitydex/harvest.shtml
Hustle,Squawkabilly,"Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.",https://www.serebii.net/abilitydex/hustle.shtml
Ice Body,Arctibax,The Pokémon gradually regains HP in a hailstorm.,HP is restored by 1/16th of maximum HP when its hailing.,https://www.serebii.net/abilitydex/icebody.shtml
Ice Body,Baxcalibur,The Pokémon gradually regains HP in a hailstorm.,HP is restored by 1/16th of maximum HP when its hailing.,https://www.serebii.net/abilitydex/icebody.shtml
Ice Body,Frigibax,The Pokémon gradually regains HP in a hailstorm.,HP is restored by 1/16th of maximum HP when its hailing.,https://www.serebii.net/abilitydex/icebody.shtml
Infiltrator,Bramblin,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.",https://www.serebii.net/abilitydex/infiltrator.shtml
Infiltrator,Brambleghast,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.",https://www.serebii.net/abilitydex/infiltrator.shtml
Inner Focus,Annihilape,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate,https://www.serebii.net/abilitydex/innerfocus.shtml
Insomnia,Scovillain,The Pokémon is suffering from insomnia and cannot fall asleep.,The Pokémon cannot be put to Sleep while having this ability.,https://www.serebii.net/abilitydex/insomnia.shtml
Insomnia,Capsakid,The Pokémon is suffering from insomnia and cannot fall asleep.,The Pokémon cannot be put to Sleep while having this ability.,https://www.serebii.net/abilitydex/insomnia.shtml
Insomnia,Spidops,The Pokémon is suffering from insomnia and cannot fall asleep.,The Pokémon cannot be put to Sleep while having this ability.,https://www.serebii.net/abilitydex/insomnia.shtml
Insomnia,Tarountula,The Pokémon is suffering from insomnia and cannot fall asleep.,The Pokémon cannot be put to Sleep while having this ability.,https://www.serebii.net/abilitydex/insomnia.shtml
Intimidate,Mabosstiff,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches. ",https://www.serebii.net/abilitydex/intimidate.shtml
Intimidate,Squawkabilly,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches. ",https://www.serebii.net/abilitydex/intimidate.shtml
Intimidate,Maschiff,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches. ",https://www.serebii.net/abilitydex/intimidate.shtml
Iron Fist,Pawmot,Powers up punching moves.,The power of punching moves is increased by 20%.,https://www.serebii.net/abilitydex/ironfist.shtml
Iron Fist,Pawmo,Powers up punching moves.,The power of punching moves is increased by 20%.,https://www.serebii.net/abilitydex/ironfist.shtml
Iron Fist,Pawmi,Powers up punching moves.,The power of punching moves is increased by 20%.,https://www.serebii.net/abilitydex/ironfist.shtml
Keen Eye,Bombirdier,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent,https://www.serebii.net/abilitydex/keeneye.shtml
Klutz,Capsakid,The Pokémon can't use any held items.,"The Pokémon cannot receive any effect of hold items except those that affect experience, EVs, friendship etc. such as Amulet Coin, Soothe Bell, Lucky Egg, Exp.Share, Macho Brace or the Power Items.",https://www.serebii.net/abilitydex/klutz.shtml
Klutz,Fidough,The Pokémon can't use any held items.,"The Pokémon cannot receive any effect of hold items except those that affect experience, EVs, friendship etc. such as Amulet Coin, Soothe Bell, Lucky Egg, Exp.Share, Macho Brace or the Power Items.",https://www.serebii.net/abilitydex/klutz.shtml
Lingering Aroma,Oinkologne,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.,,https://www.serebii.net/abilitydex/lingeringaroma.shtml
Mold Breaker,Tinkaton,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle,https://www.serebii.net/abilitydex/moldbreaker.shtml
Mold Breaker,Veluza,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle,https://www.serebii.net/abilitydex/moldbreaker.shtml
Mold Breaker,Tinkatink,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle,https://www.serebii.net/abilitydex/moldbreaker.shtml
Mold Breaker,Tinkatuff,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle,https://www.serebii.net/abilitydex/moldbreaker.shtml
Moody,Scovillain,Raises one stat sharply and lowers another every turn.,"At the end of every turn, a random stat (except Accuracy and Evasion) is raised by two stages while another is lowered by one stage. ",https://www.serebii.net/abilitydex/moody.shtml
Moxie,Quaxly,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Attack is raised by one stage when the Pokémon knocks out another Pokémon,https://www.serebii.net/abilitydex/moxie.shtml
Moxie,Quaquaval,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Attack is raised by one stage when the Pokémon knocks out another Pokémon,https://www.serebii.net/abilitydex/moxie.shtml
Moxie,Quaxwell,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Attack is raised by one stage when the Pokémon knocks out another Pokémon,https://www.serebii.net/abilitydex/moxie.shtml
Mycelium Might,Toedscool,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.","If the Pokémon uses a Status move, it will move last in the Speed bracket, but its moves aren't affected by the Ability of the target",https://www.serebii.net/abilitydex/myceliummight.shtml
Mycelium Might,Toedscruel,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.","If the Pokémon uses a Status move, it will move last in the Speed bracket, but its moves aren't affected by the Ability of the target",https://www.serebii.net/abilitydex/myceliummight.shtml
Natural Cure,Pawmi,All status conditions heal when the Pokémon switches out.,"The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle.",https://www.serebii.net/abilitydex/naturalcure.shtml
Natural Cure,Pawmo,All status conditions heal when the Pokémon switches out.,"The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle.",https://www.serebii.net/abilitydex/naturalcure.shtml
Natural Cure,Pawmot,All status conditions heal when the Pokémon switches out.,"The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle.",https://www.serebii.net/abilitydex/naturalcure.shtml
Oblivious,Dondozo,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.",https://www.serebii.net/abilitydex/oblivious.shtml
Opportunist,Espathra,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",,https://www.serebii.net/abilitydex/opportunist.shtml
Orichalcum Pulse,Koraidon,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,,https://www.serebii.net/abilitydex/orichalcumpulse.shtml
Overcoat,Revavroom,"Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc. ",https://www.serebii.net/abilitydex/overcoat.shtml
Overcoat,Varoom,"Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc. ",https://www.serebii.net/abilitydex/overcoat.shtml
Overgrow,Sprigatito,Powers up Grass-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.",https://www.serebii.net/abilitydex/overgrow.shtml
Overgrow,Floragato,Powers up Grass-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.",https://www.serebii.net/abilitydex/overgrow.shtml
Overgrow,Meowscarada,Powers up Grass-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.",https://www.serebii.net/abilitydex/overgrow.shtml
Own Tempo,Tandemaus,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Own Tempo,Tinkaton,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Own Tempo,Fidough,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Own Tempo,Tinkatink,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Own Tempo,Tadbulb,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Own Tempo,Tinkatuff,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate,https://www.serebii.net/abilitydex/owntempo.shtml
Pickpocket,Shroodle,Steals an item from an attacker that made direct contact.,"When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.",https://www.serebii.net/abilitydex/pickpocket.shtml
Pickpocket,Tinkatink,Steals an item from an attacker that made direct contact.,"When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.",https://www.serebii.net/abilitydex/pickpocket.shtml
Pickpocket,Tinkatuff,Steals an item from an attacker that made direct contact.,"When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.",https://www.serebii.net/abilitydex/pickpocket.shtml
Pickpocket,Tinkaton,Steals an item from an attacker that made direct contact.,"When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.",https://www.serebii.net/abilitydex/pickpocket.shtml
Pickup,Greavard,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.",https://www.serebii.net/abilitydex/pickup.shtml
Pickup,Tandemaus,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.",https://www.serebii.net/abilitydex/pickup.shtml
Poison Point,Clodsire,Contact with the Pokémon may poison the attacker.,"The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon.",https://www.serebii.net/abilitydex/poisonpoint.shtml
Poison Touch,Grafaiai,May poison a target when the Pokémon makes contact.,"When the Pokémon attacks its opponents with a move that causes Physical Contact, there is a 30% chance that the target is Poisoned.",https://www.serebii.net/abilitydex/poisontouch.shtml
Prankster,Grafaiai,Gives priority to a status move.,Status category moves have their Speed Priority increased by 1. Moves increased by this that are used on Dark-type opponents will fail.,https://www.serebii.net/abilitydex/prankster.shtml
Prankster,Shroodle,Gives priority to a status move.,Status category moves have their Speed Priority increased by 1. Moves increased by this that are used on Dark-type opponents will fail.,https://www.serebii.net/abilitydex/prankster.shtml
Pressure,Kingambit,"By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1. ",https://www.serebii.net/abilitydex/pressure.shtml
Protean,Sprigatito,Changes the Pokémon's type to the type of the move it's about to use.,"Before the Pokémon uses a move, it becomes a pure Pokémon of that type. This only works once per switch in.",https://www.serebii.net/abilitydex/protean.shtml
Protean,Floragato,Changes the Pokémon's type to the type of the move it's about to use.,"Before the Pokémon uses a move, it becomes a pure Pokémon of that type. This only works once per switch in.",https://www.serebii.net/abilitydex/protean.shtml
Protean,Meowscarada,Changes the Pokémon's type to the type of the move it's about to use.,"Before the Pokémon uses a move, it becomes a pure Pokémon of that type. This only works once per switch in.",https://www.serebii.net/abilitydex/protean.shtml
Protosynthesis,Slither Wing,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Roaring Moon,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Flutter Mane,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Great Tusk,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Brute Bonnet,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Scream Tail,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Protosynthesis,Sandy Shocks,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Sunny Day is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/protosynthesis.shtml
Purifying Salt,Nacli,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,,https://www.serebii.net/abilitydex/purifyingsalt.shtml
Purifying Salt,Naclstack,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,,https://www.serebii.net/abilitydex/purifyingsalt.shtml
Purifying Salt,Garganacl,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,,https://www.serebii.net/abilitydex/purifyingsalt.shtml
Quark Drive,Iron Moth,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Hands,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Jugulis,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Treads,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Bundle,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Valiant,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
Quark Drive,Iron Thorns,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,Increases the user's highest stat by 30% while Electric Terrain is activated or if the Booster Energy is attached,https://www.serebii.net/abilitydex/quarkdrive.shtml
